year,city_avg,city_ma10,city_ma25
1743,10.37,10.37,10.37
1744,15.04,12.71,12.71
1745,6.20,10.54,10.54
1746,,10.54,10.54
1747,,10.54,10.54
1748,,10.54,10.54
1749,,10.54,10.54
1750,13.83,11.36,11.36
1751,14.14,11.92,11.92
1752,9.48,11.51,11.51
1753,13.42,12.02,11.78
1754,13.58,11.78,12.01
1755,13.36,12.97,12.16
1756,14.10,13.13,12.35
1757,13.90,13.23,12.49
1758,12.10,13.10,12.46
1759,13.13,13.10,12.51
1760,12.57,12.98,12.52
1761,13.76,12.94,12.60
1762,13.66,13.36,12.67
1763,12.72,13.29,12.67
1764,13.79,13.31,12.73
1765,13.72,13.35,12.78
1766,13.60,13.30,12.82
1767,13.32,13.24,12.85
1768,12.09,13.24,12.93
1769,13.29,13.25,12.85
1770,13.28,13.32,13.18
1771,13.20,13.27,13.18
1772,14.22,13.32,13.23
1773,13.74,13.43,13.25
1774,14.07,13.45,13.28
1775,14.35,13.52,13.30
1776,13.19,13.48,13.27
1777,13.18,13.46,13.41
1778,13.96,13.65,13.44
1779,14.04,13.72,13.45
1780,13.95,13.79,13.48
1781,13.70,13.84,13.46
1782,13.10,13.73,13.43
1783,13.31,13.69,13.48
1784,13.40,13.62,13.49
1785,12.57,13.44,13.49
1786,13.13,13.43,13.46
1787,13.61,13.48,13.46
1788,13.56,13.44,13.49
1789,13.74,13.41,13.49
1790,13.56,13.37,13.49
1791,14.09,13.41,13.51
1792,13.39,13.44,13.51
1793,13.27,13.43,13.56
1794,13.87,13.48,13.58
1795,13.66,13.59,13.59
1796,13.60,13.64,13.61
1797,14.25,13.70,13.61
1798,13.93,13.74,13.62
1799,13.29,13.69,13.59
1800,13.73,13.71,13.56
1801,14.37,13.74,13.61
1802,14.48,13.85,13.66
1803,13.36,13.85,13.64
1804,13.69,13.84,13.62
1805,13.12,13.78,13.59
1806,13.88,13.81,13.60
1807,13.99,13.78,13.63
1808,12.75,13.67,13.61
1809,12.40,13.58,13.57
1810,12.72,13.48,13.58
1811,12.95,13.33,13.57
1812,12.30,13.12,13.52
1813,12.62,13.04,13.48
1814,12.81,12.95,13.44
1815,12.54,12.90,13.40
1816,12.32,12.74,13.33
1817,12.74,12.62,13.31
1818,13.26,12.67,13.31
1819,13.14,12.74,13.28
1820,13.00,12.77,13.25
1821,12.97,12.77,13.22
1822,13.07,12.85,13.18
1823,13.44,12.93,13.16
1824,14.32,13.08,13.20
1825,13.08,13.13,13.17
1826,13.03,13.21,13.12
1827,14.09,13.34,13.10
1828,13.07,13.32,13.09
1829,12.65,13.27,13.05
1830,13.21,13.29,13.05
1831,12.84,13.28,13.01
1832,11.64,13.14,12.92
1833,13.05,13.10,12.93
1834,13.15,12.98,12.96
1835,12.56,12.93,12.95
1836,13.19,12.95,12.96
1837,12.46,12.78,12.97
1838,12.28,12.70,12.96
1839,12.77,12.72,12.95
1840,12.30,12.62,12.95
1841,13.70,12.71,13.00
1842,12.94,12.84,13.01
1843,13.22,12.86,13.01
1844,12.78,12.82,12.99
1845,13.48,12.91,13.01
1846,13.98,12.99,13.05
1847,13.57,13.10,13.07
1848,13.70,13.24,13.08
1849,13.09,13.28,13.03
1850,12.74,13.32,13.02
1851,13.77,13.33,13.05
1852,13.29,13.36,13.02
1853,14.34,13.47,13.07
1854,13.03,13.50,13.08
1855,13.36,13.49,13.09
1856,12.95,13.38,13.09
1857,12.24,13.25,13.12
1858,12.72,13.15,13.10
1859,13.50,13.19,13.12
1860,13.89,13.31,13.17
1861,12.57,13.19,13.15
1862,12.94,13.15,13.17
1863,13.47,13.07,13.21
1864,12.87,13.05,13.22
1865,13.05,13.02,13.25
1866,13.12,13.04,13.22
1867,12.81,13.09,13.22
1868,13.14,13.14,13.22
1869,13.57,13.14,13.25
1870,13.16,13.07,13.23
1871,13.16,13.13,13.20
1872,14.41,13.28,13.24
1873,14.03,13.33,13.25
1874,13.39,13.38,13.26
1875,12.37,13.32,13.25
1876,13.60,13.36,13.24
1877,13.57,13.44,13.25
1878,13.99,13.53,13.24
1879,14.07,13.58,13.28
1880,12.49,13.51,13.24
1881,12.74,13.47,13.23
1882,13.25,13.35,13.28
1883,13.32,13.28,13.30
1884,12.77,13.22,13.27
1885,13.74,13.35,13.26
1886,13.67,13.36,13.31
1887,13.69,13.37,13.34
1888,12.80,13.25,13.31
1889,13.20,13.17,13.32
1890,13.25,13.24,13.33
1891,13.10,13.28,13.33
1892,13.95,13.35,13.38
1893,12.48,13.27,13.35
1894,12.78,13.27,13.32
1895,13.61,13.25,13.34
1896,13.20,13.21,13.34
1897,13.28,13.17,13.29
1898,13.54,13.24,13.27
1899,13.60,13.28,13.28
1900,14.06,13.36,13.35
1901,13.97,13.45,13.36
1902,13.26,13.38,13.35
1903,13.45,13.48,13.33
1904,13.17,13.51,13.29
1905,13.30,13.48,13.33
1906,13.41,13.50,13.35
1907,12.65,13.44,13.33
1908,12.73,13.36,13.31
1909,13.72,13.37,13.34
1910,13.66,13.33,13.34
1911,12.86,13.22,13.31
1912,13.18,13.21,13.29
1913,12.94,13.16,13.29
1914,13.03,13.15,13.29
1915,14.00,13.22,13.32
1916,14.53,13.33,13.37
1917,13.81,13.45,13.37
1918,13.82,13.56,13.42
1919,13.86,13.57,13.47
1920,12.74,13.48,13.43
1921,12.95,13.49,13.42
1922,13.76,13.54,13.44
1923,14.46,13.70,13.48
1924,13.42,13.74,13.47
1925,13.91,13.73,13.46
1926,14.03,13.68,13.47
1927,14.29,13.72,13.51
1928,13.37,13.68,13.50
1929,13.29,13.62,13.51
1930,14.36,13.78,13.55
1931,13.66,13.86,13.56
