year,global_avg,global_ma10,global_ma25
1750,8.72,8.72,8.72
1751,7.98,8.35,8.35
1752,5.78,7.49,7.49
1753,8.39,7.72,7.72
1754,8.47,7.87,7.87
1755,8.36,7.95,7.95
1756,8.85,8.08,8.08
1757,9.02,8.20,8.20
1758,6.74,8.03,8.03
1759,7.99,8.03,8.03
1760,7.19,7.88,7.95
1761,8.77,7.96,8.02
1762,8.61,8.24,8.07
1763,7.50,8.15,8.03
1764,8.40,8.14,8.05
1765,8.25,8.13,8.06
1766,8.41,8.09,8.08
1767,8.22,8.01,8.09
1768,6.78,8.01,8.02
1769,7.69,7.98,8.01
1770,7.69,8.03,7.99
1771,7.85,7.94,7.98
1772,8.19,7.90,7.99
1773,8.22,7.97,8.00
1774,8.77,8.01,8.03
1775,9.18,8.10,8.05
1776,8.30,8.09,8.06
1777,8.26,8.09,8.16
1778,8.54,8.27,8.17
1779,8.98,8.40,8.19
1780,9.43,8.57,8.23
1781,8.10,8.60,8.20
1782,7.90,8.57,8.16
1783,7.68,8.51,8.20
1784,7.86,8.42,8.19
1785,7.36,8.24,8.20
1786,8.26,8.24,8.18
1787,8.03,8.21,8.15
1788,8.45,8.21,8.19
1789,8.33,8.14,8.19
1790,7.98,8.00,8.18
1791,8.23,8.01,8.17
1792,8.09,8.03,8.17
1793,8.23,8.08,8.22
1794,8.53,8.15,8.26
1795,8.35,8.25,8.28
1796,8.27,8.25,8.30
1797,8.51,8.30,8.31
1798,8.67,8.32,8.33
1799,8.51,8.34,8.32
1800,8.48,8.39,8.29
1801,8.59,8.42,8.30
1802,8.58,8.47,8.32
1803,8.50,8.50,8.32
1804,8.84,8.53,8.31
1805,8.56,8.55,8.28
1806,8.43,8.57,8.29
1807,8.28,8.54,8.30
1808,7.63,8.44,8.30
1809,7.08,8.30,8.27
1810,6.92,8.14,8.25
1811,6.86,7.97,8.20
1812,7.05,7.82,8.16
1813,7.74,7.74,8.13
1814,7.59,7.61,8.10
1815,7.24,7.48,8.07
1816,6.94,7.33,8.02
1817,6.98,7.20,7.97
1818,7.83,7.22,7.96
1819,7.37,7.25,7.91
1820,7.62,7.32,7.88
1821,8.09,7.45,7.88
1822,8.19,7.56,7.86
1823,7.72,7.56,7.82
1824,8.55,7.65,7.83
1825,8.39,7.77,7.82
1826,8.36,7.91,7.81
1827,8.81,8.09,7.82
1828,8.17,8.13,7.81
1829,7.94,8.18,7.77
1830,8.52,8.27,7.77
1831,7.64,8.23,7.74
1832,7.45,8.16,7.71
1833,8.01,8.18,7.72
1834,8.15,8.14,7.77
1835,7.39,8.04,7.78
1836,7.70,7.98,7.82
1837,7.38,7.84,7.83
1838,7.51,7.77,7.82
1839,7.63,7.74,7.82
1840,7.80,7.67,7.85
1841,7.69,7.67,7.88
1842,8.02,7.73,7.92
1843,8.17,7.74,7.93
1844,7.65,7.69,7.94
1845,7.85,7.74,7.95
1846,8.55,7.83,7.97
1847,8.09,7.90,7.97
1848,7.98,7.94,7.98
1849,7.98,7.98,7.95
1850,7.90,7.99,7.93
1851,8.18,8.04,7.93
1852,8.10,8.05,7.90
1853,8.04,8.03,7.89
1854,8.21,8.09,7.90
1855,8.11,8.11,7.89
1856,8.00,8.06,7.90
1857,7.76,8.03,7.91
1858,8.10,8.04,7.92
1859,8.25,8.07,7.92
1860,7.96,8.07,7.94
1861,7.85,8.04,7.95
1862,7.56,7.98,7.96
1863,8.11,7.99,7.98
1864,7.98,7.97,8.00
1865,8.18,7.98,8.01
1866,8.29,8.00,8.03
1867,8.44,8.07,8.05
1868,8.25,8.09,8.05
1869,8.43,8.11,8.09
1870,8.20,8.13,8.10
1871,8.12,8.16,8.08
1872,8.19,8.22,8.09
1873,8.35,8.24,8.10
1874,8.43,8.29,8.12
1875,7.86,8.26,8.12
1876,8.08,8.24,8.11
1877,8.54,8.25,8.13
1878,8.83,8.30,8.16
1879,8.17,8.28,8.16
1880,8.12,8.27,8.16
1881,8.27,8.28,8.17
1882,8.13,8.28,8.19
1883,7.98,8.24,8.18
1884,7.77,8.18,8.16
1885,7.92,8.18,8.16
1886,7.95,8.17,8.17
1887,7.91,8.11,8.18
1888,8.09,8.03,8.18
1889,8.32,8.05,8.19
1890,7.97,8.03,8.18
1891,8.02,8.01,8.17
1892,8.07,8.00,8.16
1893,8.06,8.01,8.15
1894,8.16,8.05,8.14
1895,8.15,8.07,8.14
1896,8.21,8.10,8.14
1897,8.29,8.13,8.15
1898,8.18,8.14,8.14
1899,8.40,8.15,8.14
1900,8.50,8.20,8.16
1901,8.54,8.26,8.18
1902,8.30,8.28,8.17
1903,8.22,8.30,8.15
1904,8.09,8.29,8.14
1905,8.23,8.30,8.15
1906,8.38,8.31,8.15
1907,7.95,8.28,8.15
1908,8.19,8.28,8.15
1909,8.18,8.26,8.17
1910,8.22,8.23,8.18
1911,8.18,8.19,8.19
1912,8.17,8.18,8.20
1913,8.30,8.19,8.21
1914,8.59,8.24,8.22
1915,8.59,8.28,8.25
1916,8.23,8.26,8.26
1917,8.02,8.27,8.25
1918,8.13,8.26,8.26
1919,8.38,8.28,8.26
1920,8.36,8.30,8.27
1921,8.57,8.33,8.29
1922,8.41,8.36,8.29
1923,8.42,8.37,8.30
1924,8.51,8.36,8.31
1925,8.53,8.36,8.31
1926,8.73,8.41,8.32
1927,8.52,8.46,8.32
1928,8.63,8.51,8.34
1929,8.24,8.49,8.35
1930,8.63,8.52,8.36
1931,8.72,8.53,8.38
1932,8.71,8.56,8.41
1933,8.34,8.56,8.41
1934,8.63,8.57,8.43
1935,8.52,8.57,8.44
1936,8.55,8.55,8.46
1937,8.70,8.57,8.48
1938,8.86,8.59,8.50
1939,8.76,8.64,8.51
1940,8.76,8.66,8.51
1941,8.77,8.66,8.54
1942,8.73,8.66,8.56
1943,8.76,8.70,8.59
1944,8.85,8.73,8.61
1945,8.58,8.73,8.62
1946,8.68,8.75,8.62
1947,8.80,8.76,8.64
1948,8.75,8.74,8.65
1949,8.59,8.73,8.65
1950,8.37,8.69,8.65
1951,8.63,8.67,8.64
1952,8.64,8.67,8.65
1953,8.87,8.68,8.66
1954,8.56,8.65,8.67
1955,8.63,8.65,8.67
1956,8.28,8.61,8.65
1957,8.73,8.61,8.65
1958,8.77,8.61,8.67
1959,8.73,8.62,8.67
1960,8.58,8.64,8.68
1961,8.80,8.66,8.69
1962,8.75,8.67,8.69
